Date,Currency,Description,Record,Bid,Ask
03/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.531,2.551
04/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.441,2.461
05/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.523,2.543
08/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.746,2.766
09/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.574,2.594
10/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.594,2.614
11/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.48,2.5
12/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.341,2.361
15/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.355,2.375
16/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.31,2.33
17/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,1.988,2.008
18/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.006,2.026
19/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,1.959,1.979
22/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.066,2.086
23/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.13,2.15
24/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.079,2.099
25/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.141,2.161
26/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.15,2.17
29/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.046,2.066
30/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.021,2.041
31/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.023,2.043
01/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.023,2.043
02/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.116,2.136
05/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.3,2.32
06/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.256,2.276
07/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.174,2.194
08/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.115,2.135
09/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.045,2.065
12/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,1.998,2.018
13/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,1.96,1.98
14/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,1.994,2.014
15/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,1.865,1.885
16/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.017,2.037
19/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.057,2.077
20/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.061,2.081
21/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.031,2.051
22/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.132,2.152
23/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.163,2.183
26/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.146,2.166
27/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.284,2.304
28/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.209,2.229
29/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.297,2.317
30/01/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.426,2.446
02/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.448,2.468
03/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.378,2.398
04/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.495,2.515
05/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.517,2.537
06/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.493,2.513
09/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.55,2.57
10/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.541,2.561
11/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.465,2.485
12/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.376,2.396
13/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.457,2.477
16/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.552,2.572
17/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.481,2.501
18/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.418,2.438
19/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.463,2.483
20/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.432,2.452
23/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.489,2.509
24/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.422,2.442
25/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.473,2.493
26/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.641,2.661
27/02/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.644,2.664
02/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.586,2.606
03/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.577,2.597
04/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.578,2.598
05/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.614,2.634
06/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.464,2.484
09/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.549,2.569
10/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.604,2.624
11/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.629,2.649
12/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.483,2.503
13/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.528,2.548
16/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.521,2.541
17/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.55,2.57
18/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.569,2.589
19/03/2009,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.253,2.273
