Date,Currency,Description,Record,Bid,Ask,Mid
04/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.93,4.95,
05/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.945,4.965,
06/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.937,4.957,
07/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.89,4.91,
08/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.912,4.932,
11/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.915,4.935,
12/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.919,4.939,
13/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.878,4.898,
14/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.874,4.894,
15/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.857,4.877,
18/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.842,4.862,
19/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.882,4.902,
20/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.91,4.93,
21/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.882,4.902,
22/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.878,4.898,
25/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.863,4.883,
26/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.843,4.863,
27/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.822,4.842,
28/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.795,4.815,
29/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.806,4.826,
02/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.803,4.823,
03/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.774,4.794,
04/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.779,4.799,
05/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.748,4.768,
06/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.793,4.813,
09/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.757,4.777,
10/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.741,4.761,
11/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.648,4.668,
12/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.625,4.645,
13/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.581,4.601,
16/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.585,4.605,
17/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.571,4.591,
18/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.566,4.586,
19/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.587,4.607,
20/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.59,4.61,
23/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.558,4.578,
24/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.531,4.551,
25/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.541,4.561,
26/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.581,4.601,
27/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.578,4.598,
30/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.579,4.599,
31/05/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.517,4.537,
01/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.458,4.478,
02/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.47,4.486,
03/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.472,4.492,
06/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.495,4.515,
07/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.473,4.493,
08/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.462,4.482,
09/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.5,4.52,
10/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.51,4.53,
13/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.533,4.553,
14/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.582,4.602,
15/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.589,4.609,
16/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.578,4.598,
17/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.585,4.605,
20/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.598,4.618,
21/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.557,4.577,
22/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.422,4.442,
23/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.39,4.41,
24/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.383,4.403,
27/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.351,4.371,
28/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.384,4.404,
29/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.364,4.384,
30/06/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.282,4.302,
01/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.308,4.328,
04/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.336,4.356,
05/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.363,4.383,
06/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.36,4.38,
07/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.254,4.274,
08/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.279,4.299,
11/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.322,4.342,
12/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.355,4.375,
13/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.323,4.343,
14/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.336,4.356,
15/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.318,4.338,
18/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.295,4.315,
19/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.311,4.331,
20/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.301,4.321,
21/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.388,4.408,
22/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.315,4.335,
25/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.307,4.327,
26/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.338,4.358,
27/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.334,4.354,
28/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.356,4.376,
29/07/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.39,4.41,
01/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.461,4.481,
02/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.466,4.486,
03/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.483,4.503,
04/08/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.434,4.454,
