Name,Currency,Active,Day Count,Fixing Calendar,Offset Days,Offset Calendar,Effective Date Calendar,Tenor,Tenor Convention,FixingTime,FixingZone,Fixed Leg Day Count
JPY-TORF-6M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,6M,LastBusinessDay,15:00,Asia/Tokyo,Act/365F
,,,,,,,,,,,,
USD-LIBOR-1W,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,1W,Following,11:55,Europe/London,Act/360
USD-LIBOR-2W,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,2W,Following,11:55,Europe/London,Act/360
USD-LIBOR-1M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,1M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-2M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,2M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-3M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,3M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-4M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,4M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-5M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,5M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-6M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,6M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-7M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,7M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-8M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,8M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-9M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,9M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-10M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,10M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-11M,USD,FALSE,Act/360,GBLO,2,GBLO,GBLO+USNY,11M,LastBusinessDay,11:55,Europe/London,Act/360
USD-LIBOR-12M,USD,TRUE,Act/360,GBLO,2,GBLO,GBLO+USNY,12M,LastBusinessDay,11:55,Europe/London,Act/360
,,,,,,,,,,,,
USD-BSBY-1M,USD,TRUE,Act/360,USGS,2,USGS,USGS,1M,LastBusinessDay,08:00,America/New_York,Act/360
USD-BSBY-3M,USD,TRUE,Act/360,USGS,2,USGS,USGS,3M,LastBusinessDay,08:00,America/New_York,Act/360
USD-BSBY-6M,USD,TRUE,Act/360,USGS,2,USGS,USGS,6M,LastBusinessDay,08:00,America/New_York,Act/360
USD-BSBY-12M,USD,TRUE,Act/360,USGS,2,USGS,USGS,12M,LastBusinessDay,08:00,America/New_York,Act/360
,,,,,,,,,,,,
USD-SOFRCMETERM-1M,USD,TRUE,Act/360,USGS,2,USGS,USGS,1M,LastBusinessDay,05:00,America/New_York,Act/360
USD-SOFRCMETERM-3M,USD,TRUE,Act/360,USGS,2,USGS,USGS,3M,LastBusinessDay,05:00,America/New_York,Act/360
USD-SOFRCMETERM-6M,USD,TRUE,Act/360,USGS,2,USGS,USGS,6M,LastBusinessDay,05:00,America/New_York,Act/360
USD-SOFRCMETERM-12M,USD,TRUE,Act/360,USGS,2,USGS,USGS,12M,LastBusinessDay,05:00,America/New_York,Act/360
,,,,,,,,,,,,
USD-AMERIBORTERM-1M,USD,TRUE,Act/360,USNY,2,USNY,USNY,1M,LastBusinessDay,18:30,America/Chicago,Act/360
USD-AMERIBORTERM-3M,USD,TRUE,Act/360,USNY,2,USNY,USNY,3M,LastBusinessDay,18:30,America/Chicago,Act/360
,,,,,,,,,,,,
EUR-EURIBOR-1W,EUR,TRUE,Act/360,EUTA,2,EUTA,EUTA,1W,Following,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-2W,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,2W,Following,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-1M,EUR,TRUE,Act/360,EUTA,2,EUTA,EUTA,1M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-2M,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,2M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-3M,EUR,TRUE,Act/360,EUTA,2,EUTA,EUTA,3M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-4M,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,4M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-5M,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,5M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-6M,EUR,TRUE,Act/360,EUTA,2,EUTA,EUTA,6M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-7M,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,7M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-8M,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,8M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-9M,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,9M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-10M,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,10M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-11M,EUR,FALSE,Act/360,EUTA,2,EUTA,EUTA,11M,LastBusinessDay,11:00,Europe/Brussels,30U/360
EUR-EURIBOR-12M,EUR,TRUE,Act/360,EUTA,2,EUTA,EUTA,12M,LastBusinessDay,11:00,Europe/Brussels,30U/360
,,,,,,,,,,,,
JPY-TIBOR-JAPAN-1W,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,1W,Following,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-1M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,1M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-2M,JPY,FALSE,Act/365F,JPTO,2,JPTO,JPTO,2M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-3M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,3M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-4M,JPY,FALSE,Act/365F,JPTO,2,JPTO,JPTO,4M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-5M,JPY,FALSE,Act/365F,JPTO,2,JPTO,JPTO,5M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-6M,JPY,TRUE,Act/365F,JPTO,2,JPTO,JPTO,6M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-7M,JPY,FALSE,Act/365F,JPTO,2,JPTO,JPTO,7M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
JPY-TIBOR-JAPAN-8M,JPY,FALSE,Act/365F,JPTO,2,JPTO,JPTO,8M,LastBusinessDay,13:00,Asia/Tokyo,Act/365F
