Date,Currency,Description,Record,Bid,Ask
23/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.801,3.851
24/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.794,3.844
25/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.794,3.844
28/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.832,3.882
29/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.831,3.881
30/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.84,3.89
31/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.837,3.887
01/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.837,3.887
04/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.832,3.882
05/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.807,3.857
06/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.843,3.893
07/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.833,3.883
08/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.851,3.901
11/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.828,3.878
12/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.821,3.871
13/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.821,3.871
14/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.827,3.877
15/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.775,3.825
18/01/2010,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.762,3.812
